ID,Barcode,Item_Name,MRP,Rate_A,Rate_B,WS_Price,Rate_C,Last_Used,Available_Stock,UOM,HSN,Tax_Percentage,Discount_Percentage,Low_Stock_Quantity,Expiry_Date,Description,Total_Sold,Brand_Name,Supplier_Name,Full_Bin_Qty,Managed_Bin
1,1,Bath Robe XXL,789,480,480,310,450,01-10-2022,3,Pcs.,,0,0,1,01-01-2100,Bath Robe Multi XXL - Bath Robe - Sunder,3,,,0,FALSE
2,2,Coty Blouse 30,195,160,120,85.8,112.5,14-12-2022,1,Pcs.,,0,0,0,01-01-2100,Coty Blouse Multi 30 - Blouse - Sunder,5,,,0,FALSE
3,3,Coty Blouse 32,146.5,125,120,70,112.5,14-07-2021,0,Pcs.,,0,0,2,01-01-2100,Coty Blouse Multi 32 - Blouse - Sunder,0,,,0,FALSE
4,4,Coty Blouse 34,156,125,120,70,112.5,14-01-2023,1,Pcs.,,0,0,2,01-01-2100,Coty Blouse Multi 34 - Blouse - Sunder,1,,,0,FALSE
6,6,4 Way Sport W/S/B 30,130,115,110,60,87.5,10-06-2022,0,Pcs.,,0,0,0,01-01-2100,4 Way Sport W/S/B Multi 30 - Bra - Sunder,5,,,0,FALSE
7,7,Nancy  Sport W/S/B 32,138,120,120,63,87.5,23-12-2022,6,Pcs.,,0,0,2,01-01-2100,Swaroop Collection,0,,,0,FALSE
8,8,Nancy  Sport W/S/B 34,138,120,120,63,87.5,23-12-2022,6,Pcs.,,0,0,2,01-01-2100,Swaroop Collection,0,,,0,FALSE
9,9,4 Way Sport W/S/B 36,130,115,110,55,85,12-07-2022,1,Pcs.,,0,0,2,01-01-2100,A Way Sport W/S/B Multi 36 - Bra - Sunder,1,,,0,FALSE
11,11,Aashmi 34,157.5,130,130,70,105,07-01-2021,0,Pcs.,,0,0,2,01-01-2100,Aashmi Multi 34 - Bra - Sunder,0,,,0,FALSE
12,12,Aashmi 36,157.5,130,130,70,105,18-11-2020,1,Pcs.,,0,0,2,01-01-2100,Aashmi Multi 36 - Bra - Sunder,0,,,0,FALSE
13,13,Air Bra F 5017,205,100,69,53,60,24-07-2022,-6,Pcs.,6212,0,0,2,01-01-2100,Air Bra Multi F - Bra - Sunder,7,,,0,FALSE
14,14,Benefit Seamless 30,220,190,155,110,150,18-10-2022,4,Pcs.,6212,0,0,0,01-01-2100,Benefit Seamless Multi 30 - Bra - Sunder,4,,,0,FALSE
15,15,Benefit Seamless 32,186.25,160,155,80,150,12-10-2022,0,Pcs.,6212,0,0,3,01-01-2100,Benefit Seamless Multi 32 - Bra - Sunder,3,,,0,FALSE
16,16,Benefit Seamless 34,186.25,160,155,80,150,29-11-2022,2,Pcs.,6212,0,0,1,01-01-2100,Benefit Seamless Multi 34 - Bra - Sunder,7,,,0,FALSE
18,18,Blouse White bra F,499,400,400,349,400,18-11-2018,1,Pcs.,6212,0,0,1,01-01-2100,Blouse White bra White F - Bra - Amazon,0,,,0,FALSE
19,19,Check Set 30,190,155,155,75,122.5,12-05-2021,2,Pcs.,,0,0,1,01-01-2100,Check Set Multi 30 - Bra - Sunder,0,,,0,FALSE
20,20,Check Set 32 R,190,155,155,75,122.5,02-01-2019,0,Pcs.,,0,0,1,01-01-2100,Check Set Multi 32 - Bra - Sunder,0,,,0,FALSE
22,22,Check Set 36 R,190,155,155,75,122.5,18-02-2021,0,Pcs.,,0,0,1,01-01-2100,Check Set Multi 36 - Bra - Sunder,0,,,0,FALSE
23,23,VIvo Foam 28,108,70,70,49.16,70,18-06-2021,0,Pcs.,,0,0,2,01-01-2100,Classic VIvo Foam Multi 28 - Bra - Bharat,0,,,0,FALSE
24,24,VIvo Foam 30,92.5,70,70,49.16,70,05-12-2019,0,Pcs.,,0,0,2,01-01-2100,Classic VIvo Foam Multi 30 - Bra - Bharat,0,,,0,FALSE
25,25,VIvo Foam 32,92,70,70,49.16,70,11-02-2021,0,Pcs.,,0,0,2,01-01-2100,Classic VIvo Foam Multi 32 - Bra - Bharat,0,,,0,FALSE
26,26,Voda Foam 28,102,90,90,54.58,78.29,16-12-2021,-5,Pcs.,,0,0,2,01-01-2100,Classic Voda Foam Multi 30 - Bra - Bharat,0,,,0,FALSE
27,27,Voda Foam 30,102,90,90,54.58,78.29,23-12-2020,0,Pcs.,,0,0,2,01-01-2100,Classic Voda Foam Multi 30 - Bra - Bharat,0,,,0,FALSE
28,28,Voda Foam 32,102,90,90,54.58,78.29,20-06-2020,-1,Pcs.,,0,0,2,01-01-2100,Classic Voda Foam Multi 32 - Bra - Bharat,0,,,0,FALSE
29,29,Comfort 30,102,65,62,38,62,04-12-2022,22,Pcs.,,0,0,3,01-01-2100,Comfort  30 Multi 30 - Bra - Sunder,4,,,0,FALSE
30,30,Comfort  32,102,65,62,38,62,12-05-2021,0,Pcs.,,0,0,2,01-01-2100,Comfort  32 Multi 32 - Bra - Sunder,0,,,0,FALSE
31,31,Comfort  34,102,65,62,38,62,25-01-2023,7,Pcs.,,0,0,2,01-01-2100,Comfort  34 Multi 34 - Bra - Sunder,7,,,0,FALSE
32,32,Comfort  36,102,65,62,38,62,20-12-2022,29,Pcs.,,0,0,2,01-01-2100,Comfort  36 Multi 36 - Bra - Sunder,4,,,0,FALSE
34,34,Damini 36,137,120,85,72,76.5,23-01-2023,5,Pcs.,,0,0,2,01-01-2100,Damini Multi 36 - Bra - Bharat,12,,,0,FALSE
35,35,Dis 554 Sports 30,175,155,155,85,122.5,21-10-2022,9,Pcs.,,0,0,2,01-01-2100,Dis 554 Sports Multi 30 - Bra - Sunder,2,,,0,FALSE
36,36,Dis 554 Sports 32,175,155,155,85,122.5,12-12-2022,0,Pcs.,,0,0,2,01-01-2100,Dis 554 Sports Multi 32 - Bra - Sunder,2,,,0,FALSE
37,37,Dis 554 Sports 34,175,155,155,85,122.5,22-06-2021,2,Pcs.,,0,0,2,01-01-2100,Dis 554 Sports Multi 34 - Bra - Sunder,0,,,0,FALSE
38,38,Dis 554 Sports 36,175,155,155,85,122.5,07-05-2022,-1,Pcs.,,0,0,2,01-01-2100,Dis 554 Sports Multi 36 - Bra - Sunder,2,,,0,FALSE
39,39,Forway 30,75,50,50,30,45,20-02-2022,17,Pcs.,,0,0,0,01-01-2100,Foar Way   Multi 30 - Bra - Sunder,0,,,0,FALSE
40,40,Forway 32,75,50,50,30,45,12-05-2021,3,Pcs.,,0,0,2,01-01-2100,Foar Way   Multi 32 - Bra - Sunder,0,,,0,FALSE
41,41,Forway 34,75,50,50,30,45,19-03-2022,0,Pcs.,,0,0,2,01-01-2100,Foar Way   Multi 34 - Bra - Sunder,1,,,0,FALSE
42,42,Forway 36,75,50,50,30,45,17-08-2022,4,Pcs.,,0,0,2,01-01-2100,Foar Way   Multi 36 - Bra - Sunder,1,,,0,FALSE
